date,security_id,issuer,liquidity_score,trade_count_20d,active_days_20d,price_dispersion_bp
2025-05-26,JPM_1,JPM,0.8698671343013498,46,19,1.7148937052888353
2025-05-26,JPM_2,JPM,0.9196452612403124,54,20,0.8866660681108267
2025-05-26,JPM_3,JPM,0.8922745671628425,48,19,1.4266514626778068
2025-05-26,JPM_4,JPM,0.8822198474277555,51,18,0.7317148098066526
2025-05-26,JPM_5,JPM,0.8643511788916203,49,18,0.9096282050796872
2025-05-26,BAC_1,BAC,0.804660043535195,47,17,1.2154854988886683
2025-05-26,BAC_2,BAC,0.8140908812206393,50,17,2.5294317902363392
2025-05-26,BAC_3,BAC,0.8082371515542817,48,17,3.086707038238119
2025-05-26,BAC_4,BAC,0.8212059387091519,48,16,1.554968573285844
2025-05-26,BAC_5,BAC,0.7775155804575814,41,17,1.5603869230266763
2025-05-26,C_1,C,0.7810934128126504,40,15,2.876355703086648
2025-05-26,C_2,C,0.8137829801767932,43,16,2.3366275408766857
2025-05-26,C_3,C,0.7832379420206584,47,16,3.005898745669758
2025-05-26,C_4,C,0.7803413195009097,42,17,2.2229912389295374
2025-05-26,C_5,C,0.785793211589066,45,14,2.2013935446305157
2025-05-26,WFC_1,WFC,0.8057072016093443,55,16,1.780294988210341
2025-05-26,WFC_2,WFC,0.8287615449791027,43,17,2.003619299823684
2025-05-26,WFC_3,WFC,0.8343669374298024,44,16,2.4085390136798015
2025-05-26,WFC_4,WFC,0.8261376671799875,43,18,1.361496953293412
2025-05-26,WFC_5,WFC,0.8159645241327923,39,16,2.535104020675611
2025-05-27,JPM_1,JPM,0.8563827562862664,45,19,1.3329404177062691
2025-05-27,JPM_2,JPM,0.9177154980341129,51,17,0.5
2025-05-27,JPM_3,JPM,0.8798117684115275,46,20,1.0933454506489948
2025-05-27,JPM_4,JPM,0.9032062945518686,49,19,0.9173431034138522
2025-05-27,JPM_5,JPM,0.934164405343591,48,19,0.6563986473605483
2025-05-27,BAC_1,BAC,0.8204240148001553,52,18,1.92000541550396
2025-05-27,BAC_2,BAC,0.8183294437792359,42,17,1.939997868354979
2025-05-27,BAC_3,BAC,0.7926688249797135,43,14,2.4077052463007904
2025-05-27,BAC_4,BAC,0.7951371228512273,47,17,2.4407635595231096
2025-05-27,BAC_5,BAC,0.7952672659992509,40,16,2.094513943903424
2025-05-27,C_1,C,0.7819858736395694,44,17,2.501149486096479
2025-05-27,C_2,C,0.7813856797881689,43,15,2.1086559291870475
2025-05-27,C_3,C,0.770046177764096,44,16,1.5604505867000316
2025-05-27,C_4,C,0.7734783332866358,47,16,2.1358390888400587
2025-05-27,C_5,C,0.7989775974756287,44,15,1.4519593034524274
2025-05-27,WFC_1,WFC,0.8634117343092177,37,16,1.62929971721814
2025-05-27,WFC_2,WFC,0.8572827417821061,47,17,1.5084603473430491
2025-05-27,WFC_3,WFC,0.847328835987604,44,17,0.8999234963955091
2025-05-27,WFC_4,WFC,0.8562906786999572,42,16,0.6754823647882966
2025-05-27,WFC_5,WFC,0.8169082887129406,38,15,1.5362103067212547
2025-05-28,JPM_1,JPM,0.9198388759425419,60,18,1.9517063957464993
2025-05-28,JPM_2,JPM,0.9125582256721099,49,19,1.495859647945982
2025-05-28,JPM_3,JPM,0.8887119856857878,47,17,1.6161105574453665
2025-05-28,JPM_4,JPM,0.8810397907048573,47,18,1.0692942215277466
2025-05-28,JPM_5,JPM,0.8888515106952546,47,18,1.5779521038306354
2025-05-28,BAC_1,BAC,0.8228339598526092,35,17,2.727870337234637
2025-05-28,BAC_2,BAC,0.8339096299881178,38,18,1.979138141220974
2025-05-28,BAC_3,BAC,0.8095223762599766,50,15,1.8073566197105224
2025-05-28,BAC_4,BAC,0.8392359457323628,48,16,0.6660848024666075
2025-05-28,BAC_5,BAC,0.8007469123766527,37,15,2.851664165305479
2025-05-28,C_1,C,0.7738663649209752,44,15,2.2032670722854117
2025-05-28,C_2,C,0.8057910693161032,42,15,2.603765190618581
2025-05-28,C_3,C,0.778808046628495,46,15,3.1299730490572717
2025-05-28,C_4,C,0.7611979204913626,34,16,1.8198007325332242
2025-05-28,C_5,C,0.7619111854665288,42,15,2.610149271232867
2025-05-28,WFC_1,WFC,0.8477501896921961,49,17,1.1751791471049922
