date,issuer,cds_5y_bp
2025-05-26,BAC,58.0
2025-05-26,C,63.0
2025-05-26,JPM,52.0
2025-05-26,WFC,56.0
2025-05-27,BAC,57.9841860073262
2025-05-27,C,63.77920070348102
2025-05-27,JPM,52.198148521023114
2025-05-27,WFC,55.62258327320873
2025-05-28,BAC,57.417137907027
2025-05-28,C,62.813564597797516
2025-05-28,JPM,51.53227599956248
2025-05-28,WFC,55.18144690941203
2025-05-29,BAC,56.936270050124776
2025-05-29,C,62.62823695786928
2025-05-29,JPM,50.783391539535835
2025-05-29,WFC,54.66221372359484
2025-05-30,BAC,57.2366366632749
2025-05-30,C,62.73580957906935
2025-05-30,JPM,50.78524554323631
2025-05-30,WFC,55.10233469440451
2025-06-02,BAC,57.53745417327869
2025-06-02,C,62.772458553962075
2025-06-02,JPM,51.45379026485089
2025-06-02,WFC,55.45543920663839
2025-06-03,BAC,57.9129125695399
2025-06-03,C,62.687143174993665
2025-06-03,JPM,51.26631556468019
2025-06-03,WFC,55.79956858520647
2025-06-04,BAC,57.360442036329765
2025-06-04,C,61.50993008843631
2025-06-04,JPM,50.29442104483869
2025-06-04,WFC,55.07054712734204
2025-06-05,BAC,57.93816645126593
2025-06-05,C,61.58967215324444
2025-06-05,JPM,50.82389530623448
2025-06-05,WFC,55.16262579675428
2025-06-06,BAC,58.521372017236004
2025-06-06,C,61.72277775685017
2025-06-06,JPM,50.96238974223953
2025-06-06,WFC,55.28520227944118
2025-06-09,BAC,57.50537512437244
2025-06-09,C,60.95153963804474
2025-06-09,JPM,50.74627451440405
2025-06-09,WFC,54.68383663448513
2025-06-10,BAC,57.91043660803485
2025-06-10,C,61.083612414794956
2025-06-10,JPM,51.11933174692145
2025-06-10,WFC,55.422102672723405
2025-06-11,BAC,57.63369443407358
2025-06-11,C,61.37358950373808
2025-06-11,JPM,50.8244210094889
2025-06-11,WFC,55.26405443929647
2025-06-12,BAC,56.85694602244657
2025-06-12,C,60.73607771168051
2025-06-12,JPM,50.526789415755964
2025-06-12,WFC,55.00897198989221
2025-06-13,BAC,56.76155272152015
2025-06-13,C,60.297929138019036
2025-06-13,JPM,50.31421406924592
2025-06-13,WFC,53.94863904884155
2025-06-16,BAC,57.23067550792951
2025-06-16,C,59.64072900167443
2025-06-16,JPM,50.30179625222868
2025-06-16,WFC,53.66309875730094
2025-06-17,BAC,57.733621429429576
2025-06-17,C,60.04514505420181
2025-06-17,JPM,51.147441228502075
2025-06-17,WFC,53.963660646446556
2025-06-18,BAC,57.39107030204647
2025-06-18,C,60.28547848106077
2025-06-18,JPM,50.83388936567492
2025-06-18,WFC,54.30480110982241
2025-06-19,BAC,57.355544527763946
2025-06-19,C,60.43020994966007
2025-06-19,JPM,50.243396337010154
2025-06-19,WFC,55.04830578694274
2025-06-20,BAC,57.305652615057845
2025-06-20,C,60.21256065427172
2025-06-20,JPM,51.132251545755565
2025-06-20,WFC,55.04700884963694
2025-06-23,BAC,57.39112152853093
2025-06-23,C,60.53661612048633
2025-06-23,JPM,50.690722141856554
2025-06-23,WFC,55.145769049065365
2025-06-24,BAC,56.97106183586102
2025-06-24,C,59.26062139765356
2025-06-24,JPM,50.18776865482268
2025-06-24,WFC,54.05532434222389
2025-06-25,BAC,55.901531000558165
2025-06-25,C,59.71642754950576
2025-06-25,JPM,49.92776884686492
2025-06-25,WFC,53.54705049506935
2025-06-26,BAC,55.22801474334799
2025-06-26,C,59.70275048073626
2025-06-26,JPM,50.449368967802044
2025-06-26,WFC,53.74312141792687
2025-06-27,BAC,55.95321920125963
2025-06-27,C,60.38540744128024
2025-06-27,JPM,51.97005592329716
2025-06-27,WFC,54.46963494457931
2025-06-30,BAC,55.5152514748842
2025-06-30,C,59.88278123451517
2025-06-30,JPM,51.479767454927696
2025-06-30,WFC,54.31589473993113
2025-07-01,BAC,55.57767045346146
2025-07-01,C,60.03711959709733
2025-07-01,JPM,51.736951858934994
2025-07-01,WFC,54.10865389041982
2025-07-02,BAC,55.21926059096109
2025-07-02,C,60.057966026683104
2025-07-02,JPM,51.387916262618134
2025-07-02,WFC,54.01293798370458
2025-07-03,BAC,54.924217177855
2025-07-03,C,59.99421526075213
2025-07-03,JPM,51.10565453185326
2025-07-03,WFC,53.38831722084251
2025-07-04,BAC,55.97601709142348
2025-07-04,C,61.05057559006343
2025-07-04,JPM,52.65336275703713
2025-07-04,WFC,53.928507485665754
2025-07-07,BAC,55.929436934899016
2025-07-07,C,61.010891128595574
2025-07-07,JPM,52.297392018094754
2025-07-07,WFC,54.106177824504634
2025-07-08,BAC,56.376343193113655
2025-07-08,C,61.76037462705298
2025-07-08,JPM,52.606054876743784
2025-07-08,WFC,54.704846295338136
2025-07-09,BAC,56.47945124704
2025-07-09,C,62.088832148106256
2025-07-09,JPM,52.077466430667776
2025-07-09,WFC,54.483751156204164
2025-07-10,BAC,57.326928344667685
2025-07-10,C,62.580411052540605
2025-07-10,JPM,52.82706451704286
2025-07-10,WFC,54.66792633553041
2025-07-11,BAC,57.39630967355222
2025-07-11,C,62.21651040312907
2025-07-11,JPM,53.10783640395699
2025-07-11,WFC,54.68961889762232
2025-07-14,BAC,57.98577928545416
2025-07-14,C,62.02991631005904
2025-07-14,JPM,53.31494701686256
2025-07-14,WFC,54.37009352181013
2025-07-15,BAC,57.16017330166552
2025-07-15,C,60.88801659225214
2025-07-15,JPM,52.65156211843915
2025-07-15,WFC,53.27251115548758
2025-07-16,BAC,57.455820478577806
2025-07-16,C,61.317882362471785
2025-07-16,JPM,52.835336836881964
2025-07-16,WFC,53.80740709121016
2025-07-17,BAC,57.851334787552794
2025-07-17,C,61.94313608195238
2025-07-17,JPM,52.462237903791575
2025-07-17,WFC,53.95785126280387
2025-07-18,BAC,57.70779928303817
2025-07-18,C,61.40725699511205
2025-07-18,JPM,51.488341775949095
2025-07-18,WFC,54.03619015523572
2025-07-21,BAC,57.424515033433465
2025-07-21,C,61.68997586589365
2025-07-21,JPM,51.54251158194872
2025-07-21,WFC,55.11959604076688
2025-07-22,BAC,56.60854380700804
2025-07-22,C,62.594491846161205
2025-07-22,JPM,51.669534304678315
2025-07-22,WFC,55.693257263353935
2025-07-23,BAC,56.47440830303767
2025-07-23,C,62.45037903977393
2025-07-23,JPM,51.94516152615148
2025-07-23,WFC,56.05938646639336
2025-07-24,BAC,56.162244051396414
2025-07-24,C,62.878486006686956
2025-07-24,JPM,52.37340208674633
2025-07-24,WFC,56.350433562583085
2025-07-25,BAC,56.472429369659764
2025-07-25,C,63.12955164784366
2025-07-25,JPM,51.919142979858655
2025-07-25,WFC,56.45921891153732
2025-07-28,BAC,56.582175813180655
2025-07-28,C,63.617888678717314
2025-07-28,JPM,52.05112774471042
2025-07-28,WFC,57.44528298586193
2025-07-29,BAC,55.37494730544168
2025-07-29,C,63.42352337248035
2025-07-29,JPM,51.84003151218935
2025-07-29,WFC,56.66789710778075
2025-07-30,BAC,56.043624667294395
2025-07-30,C,64.46047025695344
2025-07-30,JPM,52.50745290550266
2025-07-30,WFC,57.30984281341621
2025-07-31,BAC,56.254413124243364
2025-07-31,C,64.64207814261869
2025-07-31,JPM,51.63625403509124
2025-07-31,WFC,56.744052898046355
2025-08-01,BAC,56.69138397598951
2025-08-01,C,64.71553699385008
2025-08-01,JPM,51.22674184548149
2025-08-01,WFC,57.19872342556747
2025-08-04,BAC,55.66913655517152
2025-08-04,C,64.32775038627064
2025-08-04,JPM,51.40941646274862
2025-08-04,WFC,57.30134230104214
2025-08-05,BAC,55.59574318029283
2025-08-05,C,64.20403291688513
2025-08-05,JPM,51.33767886514676
2025-08-05,WFC,56.90994041308748
2025-08-06,BAC,55.85339127889638
2025-08-06,C,64.88258205840022
2025-08-06,JPM,51.23718025469426
2025-08-06,WFC,57.32674937409457
2025-08-07,BAC,56.475014551281156
2025-08-07,C,65.3034988795394
2025-08-07,JPM,51.25326490884081
2025-08-07,WFC,58.04999193185279
2025-08-08,BAC,57.73047966963642
2025-08-08,C,66.29227620010685
2025-08-08,JPM,51.52174623166137
2025-08-08,WFC,57.78604626420866
2025-08-11,BAC,57.50978911964377
2025-08-11,C,65.06721411473347
2025-08-11,JPM,51.04713336298633
2025-08-11,WFC,57.40398437524568
2025-08-12,BAC,57.52196084312661
2025-08-12,C,64.77739270402635
2025-08-12,JPM,51.70324434649906
2025-08-12,WFC,58.27269217034691
2025-08-13,BAC,57.56686270308422
2025-08-13,C,64.36476220422901
2025-08-13,JPM,52.001380133653825
2025-08-13,WFC,57.720440747531626
2025-08-14,BAC,58.09259535873281
2025-08-14,C,65.41596047446926
2025-08-14,JPM,52.00376143056747
2025-08-14,WFC,57.7711792109092
2025-08-15,BAC,57.53385346758971
2025-08-15,C,64.96502672343557
2025-08-15,JPM,52.13652482052924
2025-08-15,WFC,57.165312398036114
2025-08-18,BAC,58.0660369626032
2025-08-18,C,64.81255982710842
2025-08-18,JPM,52.199726926326505
2025-08-18,WFC,58.11121029021331
2025-08-19,BAC,57.488317085330635
2025-08-19,C,63.7944026977591
2025-08-19,JPM,52.603241211938084
2025-08-19,WFC,56.83246666831653
2025-08-20,BAC,57.522678381750346
2025-08-20,C,64.74284638875962
2025-08-20,JPM,52.88637934913663
2025-08-20,WFC,56.436244714936564
2025-08-21,BAC,56.09848601670914
2025-08-21,C,63.936780554085075
2025-08-21,JPM,51.69874637294895
2025-08-21,WFC,55.09516177943976
2025-08-22,BAC,56.58165338403324
2025-08-22,C,64.35992301260455
2025-08-22,JPM,52.53252134391742
2025-08-22,WFC,55.932241674901405
2025-08-25,BAC,56.622215424885894
2025-08-25,C,64.76742407731554
2025-08-25,JPM,52.49510446552878
2025-08-25,WFC,56.03596617668403
2025-08-26,BAC,56.885321874608195
2025-08-26,C,64.48641134611248
2025-08-26,JPM,52.88444470654827
2025-08-26,WFC,56.69873369923181
2025-08-27,BAC,56.508669609092806
2025-08-27,C,63.43213670430765
2025-08-27,JPM,52.26716704697514
2025-08-27,WFC,56.29912928315921
2025-08-28,BAC,56.975322778032385
2025-08-28,C,63.23585929755742
2025-08-28,JPM,52.20141674047387
2025-08-28,WFC,56.3561510181479
2025-08-29,BAC,57.76604005136375
2025-08-29,C,63.769846185400475
2025-08-29,JPM,53.30043634227296
2025-08-29,WFC,56.67076479975927
2025-09-01,BAC,58.11768513630891
2025-09-01,C,63.985180581408926
2025-09-01,JPM,53.175690723643065
2025-09-01,WFC,55.83903362444455
2025-09-02,BAC,58.09626165851421
2025-09-02,C,64.20563094633872
2025-09-02,JPM,53.915233976697664
2025-09-02,WFC,56.0410600026571
2025-09-03,BAC,57.28499086555419
2025-09-03,C,63.77201482243499
2025-09-03,JPM,53.17756742793805
2025-09-03,WFC,55.88706487783735
2025-09-04,BAC,56.93954992808226
2025-09-04,C,64.44244443300862
2025-09-04,JPM,52.72507233526913
2025-09-04,WFC,56.05663711675878
2025-09-05,BAC,56.98999525865725
2025-09-05,C,63.86132560962932
2025-09-05,JPM,52.1628683020483
2025-09-05,WFC,55.49526397253446
2025-09-08,BAC,55.318173444110634
2025-09-08,C,63.06688082011211
2025-09-08,JPM,51.304270181271264
2025-09-08,WFC,54.163106030046784
2025-09-09,BAC,55.72580928108202
2025-09-09,C,63.331521271063686
2025-09-09,JPM,51.95661066603695
2025-09-09,WFC,54.49517239912887
2025-09-10,BAC,55.84658237320057
2025-09-10,C,62.54408021586711
2025-09-10,JPM,51.713676080366156
2025-09-10,WFC,54.48522190378131
2025-09-11,BAC,55.55939117141752
2025-09-11,C,62.676769161641815
2025-09-11,JPM,51.579898285272584
2025-09-11,WFC,54.13523250966657
2025-09-12,BAC,55.96951527215655
2025-09-12,C,63.43117398347681
2025-09-12,JPM,51.93976961302312
2025-09-12,WFC,54.226570004576
2025-09-15,BAC,55.709227778867564
2025-09-15,C,63.33304878425144
2025-09-15,JPM,51.48321909326392
2025-09-15,WFC,54.428417656957706
2025-09-16,BAC,55.73882540233992
2025-09-16,C,62.954899902781726
2025-09-16,JPM,51.817238085532516
2025-09-16,WFC,55.16951350832339
2025-09-17,BAC,56.30874378778873
2025-09-17,C,63.35725786326608
2025-09-17,JPM,51.968911186725954
2025-09-17,WFC,56.00911175619766
2025-09-18,BAC,56.652391420833034
2025-09-18,C,63.238064817906064
2025-09-18,JPM,51.81735966798574
2025-09-18,WFC,55.703524910903695
2025-09-19,BAC,56.915515082934775
2025-09-19,C,63.42078791820571
2025-09-19,JPM,52.273219676488715
2025-09-19,WFC,55.48842333418187
2025-09-22,BAC,57.43908562810668
2025-09-22,C,63.98854700355964
2025-09-22,JPM,52.95763753446576
2025-09-22,WFC,55.944512286841835
2025-09-23,BAC,57.599041101996924
2025-09-23,C,63.8426198105524
2025-09-23,JPM,53.588277918150105
2025-09-23,WFC,56.42496056514702
2025-09-24,BAC,58.19447113588022
2025-09-24,C,64.89422350441632
2025-09-24,JPM,54.09142868539149
2025-09-24,WFC,56.40706340235751
2025-09-25,BAC,57.567328439565564
2025-09-25,C,64.71955660996954
2025-09-25,JPM,54.262293520576755
2025-09-25,WFC,55.78813749897218
2025-09-26,BAC,57.69043534180746
2025-09-26,C,64.66561776596917
2025-09-26,JPM,53.69532975116747
2025-09-26,WFC,54.92259068313526
2025-09-29,BAC,57.43452812251796
2025-09-29,C,64.0336035515981
2025-09-29,JPM,52.262199318066415
2025-09-29,WFC,53.814343795118226
2025-09-30,BAC,57.48774837551121
2025-09-30,C,63.579253184816075
2025-09-30,JPM,52.36218057901971
2025-09-30,WFC,53.56219894649246
2025-10-01,BAC,57.761623171189605
2025-10-01,C,63.632935190603845
2025-10-01,JPM,53.098672139405366
2025-10-01,WFC,53.99480712862588
2025-10-02,BAC,57.311083179539125
2025-10-02,C,63.34250502972851
2025-10-02,JPM,52.341295692250526
2025-10-02,WFC,53.927907873840375
2025-10-03,BAC,56.145808828810736
2025-10-03,C,63.62423183678593
2025-10-03,JPM,52.55393868284159
2025-10-03,WFC,54.33128192276008
2025-10-06,BAC,56.64088067627208
2025-10-06,C,63.11160883874305
2025-10-06,JPM,52.59834649985395
2025-10-06,WFC,54.705459362549284
2025-10-07,BAC,57.93274295381488
2025-10-07,C,64.5673878401676
2025-10-07,JPM,54.15674053312929
2025-10-07,WFC,55.455012337117694
2025-10-08,BAC,57.16167324407026
2025-10-08,C,63.82625964537014
2025-10-08,JPM,53.02684565371236
2025-10-08,WFC,54.912149635610234
2025-10-09,BAC,58.03961460405889
2025-10-09,C,64.51521556787306
2025-10-09,JPM,53.053698902637514
2025-10-09,WFC,55.24544021180687
2025-10-10,BAC,57.471437596792654
2025-10-10,C,63.924491448714534
2025-10-10,JPM,52.92573438344784
2025-10-10,WFC,55.4259867281013
2025-10-13,BAC,57.62438430255046
2025-10-13,C,63.72951473947662
2025-10-13,JPM,53.15635438039294
2025-10-13,WFC,54.44316840763174
2025-10-14,BAC,58.21011181019576
2025-10-14,C,63.461476082999546
2025-10-14,JPM,53.91313202204078
2025-10-14,WFC,54.79003975580946
2025-10-15,BAC,58.25786397162627
2025-10-15,C,63.76982351354624
